Date, Open, High, Low, Close
05/07/08, 1417.49, 1419.54, 1391.16, 1392.57
05/06/08, 1405.60, 1421.57, 1397.10, 1418.26
05/05/08, 1412.77, 1415.70, 1404.37, 1407.49
05/02/08, 1409.16, 1422.72, 1406.25, 1413.90
05/01/08, 1385.97, 1410.07, 1383.07, 1409.34
04/30/08, 1391.22, 1404.57, 1384.25, 1385.59
04/29/08, 1395.61, 1397.00, 1386.70, 1390.94
04/28/08, 1397.96, 1402.90, 1394.40, 1396.37
04/25/08, 1387.88, 1399.11, 1379.98, 1397.84
04/24/08, 1380.52, 1397.72, 1371.09, 1388.82
04/23/08, 1378.40, 1387.87, 1372.24, 1379.93
04/22/08, 1386.43, 1386.43, 1369.84, 1375.94
04/21/08, 1387.72, 1390.23, 1379.25, 1388.17
04/18/08, 1369.00, 1395.90, 1369.00, 1390.33
04/17/08, 1363.37, 1368.60, 1357.25, 1365.56
04/16/08, 1337.02, 1365.49, 1337.02, 1364.71
04/15/08, 1331.72, 1337.72, 1324.35, 1334.43
04/14/08, 1332.20, 1335.64, 1326.16, 1328.32
04/11/08, 1357.98, 1357.98, 1331.21, 1332.83
04/10/08, 1355.37, 1367.24, 1350.11, 1360.55
04/09/08, 1365.50, 1368.39, 1349.97, 1354.49
04/08/08, 1370.16, 1370.16, 1360.62, 1365.54
04/07/08, 1373.69, 1386.74, 1369.02, 1372.54
04/04/08, 1369.85, 1380.91, 1362.83, 1370.40
04/03/08, 1365.69, 1375.66, 1358.68, 1369.31
04/02/08, 1369.96, 1377.95, 1361.55, 1367.53
04/01/08, 1326.41, 1370.18, 1326.41, 1370.18
03/31/08, 1315.92, 1328.52, 1312.81, 1322.70
03/28/08, 1327.02, 1334.87, 1312.95, 1315.22
03/27/08, 1340.34, 1345.62, 1325.66, 1325.76
03/26/08, 1352.45, 1352.45, 1336.41, 1341.13
03/25/08, 1349.07, 1357.47, 1341.21, 1352.99
03/24/08, 1330.29, 1359.68, 1330.29, 1349.88
03/20/08, 1299.67, 1330.67, 1295.22, 1329.51
03/19/08, 1330.97, 1341.51, 1298.42, 1298.42
03/18/08, 1277.16, 1330.74, 1277.16, 1330.74
03/17/08, 1283.21, 1287.50, 1256.98, 1276.60
03/14/08, 1316.05, 1321.47, 1274.86, 1288.14
03/13/08, 1305.26, 1321.68, 1282.11, 1315.48
03/12/08, 1321.13, 1333.26, 1307.86, 1308.77
03/11/08, 1274.40, 1320.65, 1274.40, 1320.65
03/10/08, 1293.16, 1295.01, 1272.66, 1273.37
03/07/08, 1301.53, 1313.24, 1282.43, 1293.37
03/06/08, 1332.20, 1332.20, 1303.42, 1304.34
03/05/08, 1327.69, 1344.19, 1320.22, 1333.70
03/04/08, 1329.58, 1331.03, 1307.39, 1326.75
03/03/08, 1330.45, 1335.13, 1320.04, 1331.34
02/29/08, 1364.07, 1364.07, 1325.42, 1330.63
02/28/08, 1378.16, 1378.16, 1363.16, 1367.68
02/27/08, 1378.95, 1388.34, 1372.00, 1380.02
02/26/08, 1371.76, 1387.34, 1363.29, 1381.29
02/25/08, 1352.75, 1374.36, 1346.03, 1371.80
02/22/08, 1344.22, 1354.30, 1327.04, 1353.11
02/21/08, 1362.21, 1367.94, 1339.34, 1342.53
02/20/08, 1348.39, 1363.71, 1336.55, 1360.03
02/19/08, 1355.86, 1367.28, 1345.05, 1348.78
02/15/08, 1347.52, 1350.00, 1338.13, 1349.99
02/14/08, 1367.33, 1368.16, 1347.31, 1348.86
02/13/08, 1353.12, 1369.23, 1350.78, 1367.21
02/12/08, 1340.55, 1362.10, 1339.36, 1348.86
02/11/08, 1331.92, 1341.40, 1320.32, 1339.13
02/08/08, 1336.88, 1341.22, 1321.06, 1331.29
02/07/08, 1324.01, 1347.16, 1316.75, 1336.91
